sender,receiver,edge_type
diazlopezmath,pwr2dppl,mention
diazlopezmath,amermathsoc,mention
diazlopezmath,cath2math,mention
diazlopezmath,JointMath,mention
diazlopezmath,pwr2dppl,mention
DingleTeach,mathprofcarrie,reply
DingleTeach,HthrLynnJ,retweet
DingleTeach,WanderingPoint,retweet
DingleTeach,benjamindickman,retweet
DingleTeach,HthrLynnJ,mention
DingleTeach,LoboWithACause,mention
DingleTeach,DingleTeach,mention
DingleTeach,WanderingPoint,mention
DingleTeach,benjamindickman,mention
DingleTeach,mathprofcarrie,mention
DingleTeach,Sam71244027,mention
DingleTeach,sophgermain,mention
DLeslieLancs,WanderingPoint,retweet
DLeslieLancs,WanderingPoint,mention
Doc_Kat,WanderingPoint,retweet
Doc_Kat,pwr2dppl,retweet
Doc_Kat,WanderingPoint,mention
Doc_Kat,pwr2dppl,mention
drbehardisty,siwelwerd,retweet
drbehardisty,siwelwerd,mention
DrBKirkpatrick,sbagley,reply
DrBKirkpatrick,sbagley,mention
DrBrandyMath,DrBrandyMath,reply
DrBrandyMath,MarissaKawehi,retweet
DrBrandyMath,WanderingPoint,quote-tweet
DrBrandyMath,dtkung,mention
DrBrandyMath,maanow,mention
DrBrandyMath,dtkung,mention
DrBrandyMath,MarissaKawehi,mention
DrBrandyMath,dtkung,mention
DrBrandyMath,maanow,mention
DrClaireJanelle,DrClaireJanelle,reply
DrClaireJanelle,pwr2dppl,retweet
DrClaireJanelle,mathprofcarrie,retweet
DrClaireJanelle,pwr2dppl,mention
DrClaireJanelle,blkmathmagic,mention
DrClaireJanelle,mathprofcarrie,mention
DrClaireJanelle,jmm2021,mention
DrErikaBullock,RG1gal,retweet
DrErikaBullock,RG1gal,mention
DrHenryGarrett,mathillustrated,retweet
DrHenryGarrett,benjamindickman,retweet
DrHenryGarrett,jensilvermath,retweet
DrHenryGarrett,DrMRLD,retweet
DrHenryGarrett,benjamindickman,retweet
DrHenryGarrett,mathcourtney,quote-tweet
DrHenryGarrett,mathillustrated,mention
DrHenryGarrett,timchartier,mention
DrHenryGarrett,benjamindickman,mention
DrHenryGarrett,jensilvermath,mention
DrHenryGarrett,kellydholstine,mention
DrHenryGarrett,YouTube,mention
DrHenryGarrett,DrMRLD,mention
DrHenryGarrett,washcoll,mention
DrHenryGarrett,benjamindickman,mention
DrHenryGarrett,achambertloir,mention
DrHenryGarrett,XenaProject,mention
DrHenryGarrett,HigherGeometer,mention
drjamesalvarez,mathprofcarrie,retweet
drjamesalvarez,mathprofcarrie,mention
DrMRLD,DrMRLD,reply
DrMRLD,WanderingPoint,retweet
DrMRLD,WanderingPoint,quote-tweet
